Time;Value
1;1808
2;1808
3;1795
4;1785
5;1827
6;1826
7;1815
8;1811
9;1824
10;1838
11;1807
12;1822
13;1847
14;1827
15;1792
16;1840
17;1835
18;1824
19;1834
20;1835
21;1849
22;1842
23;1847
24;1847
25;1850
26;1853
27;1863
28;1859
29;1856
30;1863
31;1863
32;1821
33;1870
34;1876
35;1887
36;1874
37;1863
38;1872
39;1872
40;1885
41;1878
42;1882
43;1889
44;1889
45;1883
46;1906
47;1898
48;1895
49;1891
50;1880
51;1936
52;1898
53;1903
54;1911
55;1913
56;1906
57;1903
58;1909
59;1909
60;1921
61;1920
62;1919
63;1918
64;1917
65;1927
66;1925
67;1937
68;1923
69;1930
70;1939
71;1946
72;1977
73;1940
74;1941
75;1937
76;1952
77;1954
78;1936
79;1950
80;1947
81;1958
82;1957
83;1968
84;1963
85;1921
86;1967
87;1961
88;2000
89;1936
90;1952
91;1968
92;1970
93;1978
94;1989
95;1978
96;1973
97;2035
98;1979
99;1991
100;1968
101;1958
102;1978
103;1994
104;1983
105;2003
106;1995
107;1975
108;1999
109;2103
110;1999
111;1995
112;1977
113;1997
114;2002
115;2007
116;2009
117;1991
118;2003
119;2001
120;2017
121;2058
122;2006
123;2000
124;1999
125;2021
126;2032
127;2017
128;2061
129;2004
130;2015
131;2027
132;2011
133;2007
134;1917
135;2015
136;2032
137;2010
138;2002
139;2021
140;2021
141;2058
142;2035
143;2043
144;2010
145;2023
146;2027
147;2034
148;2023
149;2000
150;2014
151;2015
152;2026
153;2038
154;2000
155;2005
156;1999
157;2010
158;2018
159;1993
160;2000
161;2000
162;2018
163;2010
164;1988
165;1968
166;1969
167;1999
168;2001
169;1984
170;1984
171;1975
172;1982
173;1990
174;1994
175;1985
176;1979
177;1969
178;1966
179;1975
180;1983
181;1930
182;1969
183;1968
184;1977
185;1967
186;1951
187;1951
188;1952
189;1971
190;1958
191;2059
192;1951
193;1939
194;1939
195;1935
196;1939
197;1959
198;1936
199;1935
200;1939
201;1919
202;1936
203;1926
204;1914
205;1921
206;1922
207;1921
208;1938
209;1904
210;1915
211;1909
212;1913
213;1913
214;1904
215;1872
216;1913
217;1906
218;1897
219;1894
220;1899
221;1809
222;1891
223;1904
224;1895
225;1888
226;1888
227;1878
228;1861
229;1906
230;1867
231;1876
232;1883
233;1867
234;1876
235;1872
236;1863
237;1873
238;1834
239;1871
240;1873
241;1890
242;1857
243;1844
244;1857
245;1858
246;1850
247;1841
248;1840
249;1849
250;1843
251;1840
252;1854
253;1827
254;1835
255;1837
256;1856
257;1840
258;1833
259;1819
260;1829
261;1824
262;1851
263;1827
264;1794
265;1827
266;1781
267;1827
268;1792
269;1800
270;1808
271;1809
272;1792
273;1823
274;1808
275;1797
276;1703
277;1791
278;1811
279;1808
280;1761
281;1783
282;1795
283;1777
284;1803
285;1806
286;1777
287;1804
288;1749
289;1802
290;1796
291;1776
292;1779
293;1776
294;1822
295;1803
296;1797
297;1776
298;1774
299;1791
300;1797
301;1785
302;1778
303;1769
304;1787
305;1770
306;1798
307;1782
308;1763
309;1783
310;1804
311;1776
312;1778
313;1764
314;1744
315;1773
316;1795
317;1779
318;1769
319;1778
320;1783
321;1790
322;1808
323;1773
324;1771
325;1808
326;1802
327;1795
328;1792
329;1786
330;1787
331;1779
332;1816
333;1806
334;1792
335;1792
336;1788
337;1821
338;1815
339;1804
340;1792
341;1808
342;1811
343;1829
344;1820
345;1814
346;1814
347;1823
348;1829
349;1830
350;1830
